match_id,patch,league_name,radiant_name,dire_name,radiant_win,draft_order,draft_teams,draft_is_pick,radiant_players,dire_players
8799084376,60,Destiny League,Foxy gaming,LV United,True,"Abaddon, Visage, Tiny, Lich, Windranger, Phoenix, Sniper, Io, Lina, Oracle, Muerta, Shadow Fiend, Zeus, Marci, Slardar, Winter Wyvern, Monkey King, Templar Assassin, Snapfire, Nature's Prophet, Queen of Pain, Nyx Assassin, Storm Spirit, Tidehunter","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","titik, Exterminator, Pudre, ShinraTensei, babyface","timothydillon1990, reneewilliams1915, carolynwight1917, juliettemcneil1926, meganpelc1900"
8799076327,60,EPL World Series: Southeast Asia 2025-2026 Season ,5 silly mice,WinteR Squadron ,False,"Batrider, Tiny, Lone Druid, Alchemist, Slardar, Beastmaster, Monkey King, Pangolier, Queen of Pain, Underlord, Silencer, Hoodwink, Rubick, Dawnbreaker, Lion, Kez, Grimstroke, Luna, Doom, Treant Protector, Tidehunter, Tusk, Marci, Centaur Warrunner","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Zed, Dang3r, Splicko, talking to the moon, dgz","Franz, Duruk MMR, Ackerman, Adrian Chase, PlayHard-"
8799032184,60,Destiny League,LV United,Foxy gaming,False,"Abaddon, Beastmaster, Spirit Breaker, Tiny, Windranger, Pudge, Rubick, Void Spirit, Night Stalker, Death Prophet, Sand King, Sniper, Shadow Shaman, Lion, Shadow Demon, Silencer, Shadow Fiend, Kunkka, Drow Ranger, Wraith King, Faceless Void, Troll Warlord, Luna, Nature's Prophet","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","carolynwight1917, reneewilliams1915, juliettemcneil1926, timothydillon1990, meganpelc1900","Exterminator, titik, ShinraTensei, Pudre, babyface"
8799021240,60,1win Essence I,REKONIX,Team Nemesis,True,"Kez, Monkey King, Batrider, Lone Druid, Phoenix, Pangolier, Beastmaster, Slardar, Hoodwink, Puck, Bristleback, Shadow Demon, Venomancer, Rubick, Techies, Tidehunter, Queen of Pain, Tiny, Naga Siren, Ember Spirit, Templar Assassin, Huskar, Invoker, Alchemist","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","inYourdreaM, jikroy, Fbz, dalul, Varizh","rubikon155, 4nalog丶01, J, ponlo, Yamsun"
8798998467,60,European Pro League  2025-2026 Season,_PowerRangers,Team Stels,True,"Queen of Pain, Muerta, Lone Druid, Batrider, Puck, Keeper of the Light, Tiny, Slardar, Techies, Storm Spirit, Terrorblade, Chen, Rubick, Hoodwink, Phoenix, Beastmaster, Pangolier, Weaver, Alchemist, Tidehunter, Morphling, Dawnbreaker, Bristleback, Faceless Void","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Till The End, morgue, sweet morgue., Nicky`Cool, alberkaaa, Immersion","Know your limits, ..., Jacque fresco, Volshebnik, пацаны го матюкаца"
8798993819,60,Ultras Dota Pro League  2025-26,Ghost Sheep,La Passion,True,"Shadow Fiend, Huskar, Phoenix, Pangolier, Invoker, Batrider, Mars, Rubick, Lone Druid, Crystal Maiden, Bristleback, Monkey King, Hoodwink, Queen of Pain, Lion, Ember Spirit, Silencer, Riki, Dawnbreaker, Tidehunter, Doom, Beastmaster, Underlord, Slardar","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Keyleth, Impact, hogger, qwaza, yvs","Weak on pussy, ., блин почему я не месси, tokyodrift, ."
8798972498,60,Destiny League,Night Force,Wiser Warriors,False,"Abaddon, Beastmaster, Spirit Breaker, Tiny, Death Prophet, Sniper, Pudge, Void Spirit, Windranger, Visage, Marci, Warlock, Shadow Shaman, Earth Spirit, Phoenix, Viper, Lion, Necrophos, Drow Ranger, Shadow Fiend, Faceless Void, Wraith King, Muerta, Templar Assassin","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Pigeoncatcher, GrownMan, Mezzinio, Marling, FrenzyMan","Dust_2, EmbraceTheLight, AKID, Sandy, Nightfull"
8798927686,60,EPL World Series: Southeast Asia 2025-2026 Season ,5 silly mice,WinteR Squadron ,False,"Queen of Pain, Slardar, Batrider, Tiny, Muerta, Beastmaster, Pangolier, Lone Druid, Monkey King, Alchemist, Dawnbreaker, Tusk, Hoodwink, Rubick, Jakiro, Bristleback, Treant Protector, Ember Spirit, Windranger, Underlord, Puck, Tidehunter, Doom, Meepo","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Zed, Splicko, Dang3r, talking to the moon, dgz","Franz, Duruk MMR, Ackerman, Adrian Chase, PlayHard-"
8798923786,60,Destiny League,Wiser Warriors,Night Force,False,"Windranger, Void Spirit, Techies, Visage, Tinker, Nature's Prophet, Snapfire, Pudge, Warlock, Weaver, Riki, Sand King, Axe, Oracle, Beastmaster, Zeus, Queen of Pain, Invoker, Terrorblade, Silencer, Troll Warlord, Witch Doctor, Templar Assassin, Luna","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Nightfull, EmbraceTheLight, AKID, Sandy, Dust_2","FrenzyMan, Pigeoncatcher, GrownMan, Mezzinio, Marling"
8798920027,60,1win Essence I,REKONIX,Team Nemesis,False,"Kez, Monkey King, Batrider, Slardar, Pangolier, Alchemist, Beastmaster, Lone Druid, Underlord, Phoenix, Hoodwink, Rubick, Windranger, Techies, Ring Master, Enchantress, Puck, Huskar, Doom, Axe, Ancient Apparition, Mars, Primal Beast, Tiny","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","inYourdreaM, Fbz, dalul, jikroy, Varizh","rubikon155, Lelis, J, 4nalog丶01, Yamsun"
8798917274,60,Ultras Dota Pro League  2025-26,La Passion,Ghost Sheep,False,"Pangolier, Phoenix, Shadow Fiend, Huskar, Rubick, Lone Druid, Nyx Assassin, Batrider, Leshrac, Queen of Pain, Mars, Tusk, Doom, Vengeful Spirit, Zeus, Weaver, Grimstroke, Invoker, Beastmaster, Bloodseeker, Void Spirit, Mirana, Undying, Puck","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Weak on pussy, ., tokyodrift, блин почему я не месси, .","Keyleth, qwaza, Impact, hogger, yvs"
8798882650,60,Destiny League,Night Force,Wiser Warriors,False,"Windranger, Void Spirit, Nyx Assassin, Visage, Tinker, Venomancer, Techies, Shadow Fiend, Warlock, Batrider, Death Prophet, Skywrath Mage, Zeus, Spirit Breaker, Silencer, Bristleback, Queen of Pain, Dark Seer, Abaddon, Rubick, Troll Warlord, Pangolier, Ursa, Juggernaut","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","FrenzyMan, GrownMan, Marling, Pigeoncatcher, Mezzinio","Sandy, EmbraceTheLight, Nightfull, AKID, Dust_2"
8798881066,60,European Pro League  2025-2026 Season,_PowerRangers,Team Stels,True,"Queen of Pain, Beastmaster, Tiny, Batrider, Muerta, Lone Druid, Slardar, Keeper of the Light, Puck, Rubick, Oracle, Chen, Techies, Hoodwink, Largo, Primal Beast, Nyx Assassin, Faceless Void, Clinkz, Silencer, Alchemist, Clockwerk, Grimstroke, Templar Assassin","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Till The End, morgue, sweet morgue., Nicky`Cool, alberkaaa, Immersion","Know your limits, ..., Jacque fresco, Volshebnik, пацаны го матюкаца"
8798859630,60,EPL World Series: Southeast Asia 2025-2026 Season ,GLYPH,TEAM GRIND,False,"Slardar, Bristleback, Kez, Batrider, Pangolier, Alchemist, Lone Druid, Hoodwink, Muerta, Treant Protector, Tusk, Huskar, Ember Spirit, Storm Spirit, Silencer, Disruptor, Spirit Breaker, Tiny, Night Stalker, Dawnbreaker, Primal Beast, Beastmaster, Underlord, Dark Seer","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","JACKBOYS, Emo, zeal, Jhocam, NARMAN","23savage, Ken, Nikko, Q, Teehee"
8798846842,60,1win Essence I,Yellow Submarine,Nemiga Gaming,True,"Clockwerk, Huskar, Beastmaster, Batrider, Tinker, Lone Druid, Slardar, Pangolier, Alchemist, Queen of Pain, Primal Beast, Monkey King, Hoodwink, Techies, Phoenix, Sand King, Bane, Tiny, Underlord, Ember Spirit, Bristleback, Doom, Puck, Largo","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Xakoda, shigetsu, Rain, not_me, Batyuk","selfhate, Serenityy, GygyGaga, ikanaide, Fishman"
8798835696,60,Ultras Dota Pro League  2025-26,Nethercore,Air Defence,True,"Huskar, Shadow Fiend, Razor, Doom, Invoker, Dawnbreaker, Silencer, Phoenix, Spirit Breaker, Slardar, Skywrath Mage, Lone Druid, Disruptor, Rubick, Pangolier, Bristleback, Ember Spirit, Luna, Drow Ranger, Death Prophet, Wraith King, Viper, Legion Commander, Alchemist","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Hardlane griefing, TrenchWorld, блин почему я не Роналдо, hint, скряяя","Leocouk, DoCk†oR_MenGeLEk, qwaza, Konstantin, chad"
8798796908,60,EPL World Series: Southeast Asia 2025-2026 Season ,GLYPH,TEAM GRIND,True,"Slardar, Pangolier, Kez, Alchemist, Bristleback, Batrider, Lone Druid, Hoodwink, Storm Spirit, Primal Beast, Underlord, Puck, Muerta, Silencer, Ember Spirit, Tidehunter, Enchantress, Tiny, Monkey King, Doom, Lifestealer, Largo, Dawnbreaker, Ursa","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","JACKBOYS, Emo, zeal, Jhocam, NARMAN","23savage, Ken, Nikko, Q, Teehee"
